"","Location","TotalPop","happening","human","consensus","affectweather","worried","harmplants","futuregen","devharm","harmUS","personal","timing","fundrenewables","regulate","CO2limits","reducetax","supportRPS","rebates","drillANWR","drilloffshore","teachGW","corporations","citizens","congress","governor","localofficials","prienv","discuss","mediaweekly","White","Black","Hispanic","Asian","AverageIncome","PctVReligious","censusIncomeBands","region","partyVoted2016"
"1","Alabama",3261408,63.154,50.774,39.295,52.66,53.186,61.921,60.924,54.437,52.31,36.285,44.997,81.552,73.472,64.606,63.57,57.106,79.519,36.254,59.076,76.743,62.473,58.851,55.277,52.681,53.229,67.488,28.664,17.414,66,27,4,1,51113,77,"highMid","Southeast","Republican"
"2","Alaska",470699,68.62,52.169,47.342,57.479,58.734,69.884,67.387,61.279,56.063,36.943,47.539,84.247,74.647,66.136,63.007,58.647,81.95,32.541,47.415,77.292,65.787,63.311,56.903,47.414,52.812,69.707,38.979,23.234,61,3,7,7,72231,45,"high","Far West","Republican"
"3","Arizona",4440635,69.955,55.654,49.135,60.315,60.232,67.888,67.426,61.139,58.323,40.973,50.247,83.906,76.11,68.061,64.182,63.226,81.31,36.45,52.023,77.121,67.383,63.668,60.523,54.242,56.81,69.31,38.936,24.705,55,4,31,3,61125,53,"high","Southwest","Republican"
"4","Arkansas",1973591,63.213,50.788,40.364,53.169,54.071,65.471,65.006,57.231,52.793,35.74,45.296,80.451,72.594,64.987,64.211,58.274,78.46,36.837,56.31,76.405,62.448,60.085,56.067,51.651,53.59,64.031,30.294,18.869,73,15,8,2,48829,70,"lowMid","Southeast","Republican"
"5","California",25554412,76.182,63.332,56.331,67.213,68.22,76.031,75.62,68.468,65.547,48.566,56.577,84.627,79.049,74.048,72.027,66.338,82.86,26.551,38.593,82.245,71.028,67.889,66.519,56.382,59.66,73.899,41.488,25.447,37,5,39,14,69759,49,"high","Far West","Democrat"
"6","Colorado",3590350,71.557,56.957,51.673,62.72,61.112,71.005,70.586,62.149,58.617,40.324,50.382,85.307,76.978,70.797,64.589,63.896,82.517,32.149,43.488,77.668,69.155,65.772,61.739,53.99,56.097,70.191,40.92,27.308,68,4,22,3,74172,47,"high","Rocky Mountain","Democrat"
"7","Connecticut",2466129,71.726,60.877,52.544,67.253,64.712,75.231,75.739,65.745,61.657,42.093,51.705,87.636,80.47,76.281,73.352,68.025,84.13,29.749,47.845,82.583,71.354,67.051,65.667,56.846,56.568,71.498,36.981,22.046,67,10,16,5,72780,43,"high","New England","Democrat"
"8","Delaware",640915,70.931,57.104,51.136,61.376,59.609,69.819,70.465,62.705,57.872,42.163,51.658,84.526,77.8,70.194,67.872,63.665,81.355,33.742,49.374,78.226,68.253,64.434,63.418,58.572,58.998,69.032,34.245,22.117,63,21,9,4,62318,52,"high","Mideast","Democrat"
"9","Florida",14093687,70.208,56.25,48.919,60.141,59.773,69.688,69.2,61.504,57.811,42.326,51.788,84.034,77.413,69.872,67.339,64.162,80.812,34.357,45.666,78.42,67.247,63.47,63.009,59.047,59.872,68.292,34.17,21.008,54,15,26,3,53681,54,"highMid","Southeast","Republican"
"10","Georgia",6589462,69.545,54.283,45.121,59.703,58.461,64.345,64.209,55.711,55.937,41.254,50.806,84.551,76.414,66.89,67.29,60.539,81.219,35.503,50.903,78.663,66.678,63.271,60.302,57.013,57.998,68.755,32.415,19.015,53,31,10,4,57016,66,"highMid","Southeast","Republican"
"11","Hawaii",972945,77.393,64.424,59.707,68.614,70.169,79.684,79.302,73.191,67.643,49.247,57.705,86.675,80.388,78.796,74.091,68.53,84.256,24.207,39.741,83.046,72.47,70.215,68.734,55.291,59.309,75.318,44.016,24.071,21,1,10,38,73575,47,"high","Far West","Democrat"
"12","Idaho",1047606,63.459,51.453,41.725,55.622,55.569,65.626,62.567,56.225,53.34,34.536,45.922,83.387,74.123,66.447,66.067,60.537,80.175,36.081,49.029,79.281,63.555,60.057,55.214,50.312,53.72,65.208,35.627,20.227,82,1,12,1,60208,51,"high","Rocky Mountain","Republican"
"13","Illinois",8618284,72.723,58.898,51.154,66.103,62.418,73.757,72.909,63.567,59.873,42.038,50.834,87.516,79.815,73.67,69.007,66.016,84.515,28.69,47.508,79.099,71.896,67.41,64.5,57.748,56.212,71.023,36.112,23.157,61,14,17,5,64609,51,"high","Great Lakes","Democrat"
"14","Indiana",4339687,63.938,50.736,43.133,54.252,51.632,63.999,63.217,54.586,51.388,34.83,43.609,83.093,74.087,62.761,60.247,58.955,80.711,37.805,55.855,71.686,64.736,60.012,55.84,53.311,52.845,65.348,31.15,21.418,79,9,7,2,58873,54,"highMid","Great Lakes","Republican"
"15","Iowa",2058840,64.834,53.108,45.544,58.366,55.515,68.24,69.725,58.526,52.486,34.284,42.315,85.867,75.481,65.575,63.358,61.622,81.968,35.525,51.83,75.105,67.048,62.649,57.66,47.765,49.16,70.325,32.161,22.742,86,3,6,3,63481,55,"high","Plains","Republican"
"16","Kansas",1878495,64.888,52.622,43.668,57.082,55.332,66.003,66.319,57.119,53.389,35.404,44.615,84.183,74.287,65.089,63.165,61.625,80.355,36.427,52.087,75.546,65.021,60.553,56.332,51.612,52.939,68.63,32.761,22.285,76,5,12,3,57872,55,"highMid","Plains","Republican"
"17","Kentucky",2970073,61.858,49.22,39.576,50.443,51.18,62.171,62.939,54.173,50.412,33.229,42.365,81.468,72.816,59.347,59.284,56.041,79.464,37.467,58.252,73.108,62.034,58.964,53.958,50.445,51.246,66.468,29.938,20.022,85,8,3,1,51348,63,"highMid","Southeast","Republican"
"18","Louisiana",3065979,65.425,51.549,41.74,55.229,55.692,63.87,63.893,56.494,54.359,38.345,47.486,80.841,73.228,64.819,64.891,59.471,78.911,35.012,59.27,77.256,63.177,59.262,56.799,53.24,54.957,65.755,30.229,18.156,59,32,5,2,43903,71,"low","Southeast","Republican"
"19","Maine",957066,68.558,54.989,49.641,60.466,57.014,68.83,69.057,61.031,56.8,37.285,48.434,84.847,77.377,66.467,63.77,63.817,81.672,35.174,52.715,75.193,67.44,62.987,60.428,56.529,56.729,67.807,37.118,26.449,94,1,2,1,51664,34,"highMid","New England","Democrat"
